image_pair,distance,word_cosine_sim,response_cosine_sim
150_160,10,0.754502086819366,0.5821068274123423
150_170,20,0.567477445667223,0.29851115706299675
150_180,30,0.4410752253549983,0.37567414371868646
150_190,40,0.27814593934131077,0.014071950894605835
20_150,130,0.014104573444186122,0.0
150_200,50,0.03562729288491612,0.009360522496483156
150_210,60,0.012773708449103395,0.0
150_220,70,0.011177545850247397,0.0
150_230,80,0.0,0.0
150_240,90,0.017828966246886305,0.0
150_250,100,0.010060884899108068,0.0
150_260,110,0.012674145680475694,0.0
150_270,120,0.011682264248469439,0.0
150_280,130,0.00725294949032556,0.0
150_290,140,0.01994687905625541,0.0
30_150,120,0.045842787433997154,0.0
150_300,150,0.00762881043983283,0.0
150_310,160,0.0,0.0
150_320,170,0.0,0.0
150_330,180,0.0054393231640332065,0.0
150_340,170,0.0,0.0
150_350,160,0.0,0.0
150_360,150,0.014200477428076834,0.0
40_150,110,0.0251826463220766,0.0
50_150,100,0.05424508028966483,0.0
60_150,90,0.01957400731715678,0.0
70_150,80,0.04691510573367033,0.0
80_150,70,0.13153419787541176,0.0
90_150,60,0.15472174376143294,0.1007553873309017
150_dog,NA,0.0,0.0
150_square,NA,0.07493672567079439,0.0
150_triangle,NA,0.0,0.0
160_170,10,0.6268227389236497,0.3113499245386195
160_180,20,0.43485489534771354,0.32854123009922437
160_190,30,0.3396831102433787,0.08111071056538126
20_160,140,0.02870846258816073,0.012905643322991683
160_200,40,0.04230089896408508,0.010790808419378753
160_210,50,0.012999809337527897,0.008929995329613662
160_220,60,0.01895898979972042,0.006667259338283312
160_230,70,0.0,0.0
160_240,80,0.01814454767135465,0.011646819280339489
160_250,90,0.020477934967178427,0.0
160_260,100,0.017197979012252743,0.0
160_270,110,0.011889046040610165,0.0
160_280,120,0.0110719953666514,0.0
160_290,130,0.016916623811273963,0.0
30_160,130,0.08664356479589327,0.028903665650803996
160_300,140,0.019409610291545795,0.0
160_310,150,0.0,0.0
160_320,160,0.0,0.0
160_330,170,0.01383900461235944,0.0
160_340,180,0.0,0.0
160_350,170,0.0,0.0
160_360,160,0.014451832825402,0.0
40_160,120,0.06407097870320745,0.031814238148788886
50_160,110,0.08970852271450604,0.040839957758799755
60_160,100,0.09960238411119947,0.09463727629519564
70_160,90,0.10344863978787491,0.09197090092274486
80_160,80,0.18110797665025472,0.11029436104106953
90_160,70,0.19169091481900488,0.12905643322991683
160_dog,NA,0.0008322866973338801,0.0
160_square,NA,0.08738485063696651,0.11324716643571747
160_triangle,NA,0.0,0.0
170_180,10,0.4730331178453707,0.29757465367045455
170_190,20,0.4114879637636371,0.3030457633656632
20_170,150,0.011322770341445958,0.0
170_200,30,0.16445360979635298,0.053755478193348416
170_210,40,0.05127193947059894,0.055607067440108786
170_220,50,0.026919095102908276,0.02491020830224699
170_230,60,0.008674361346549045,0.0
170_240,70,0.03435026932863631,0.043514835648583675
170_250,80,0.020191516176492164,0.0
170_260,90,0.030523384783367982,0.0
170_270,100,0.028134617968477733,0.0
170_280,110,0.02620112317888758,0.0
170_290,120,0.03202563076101743,0.0
30_170,140,0.07097403351110758,0.01799830823853463
170_300,130,0.009186304243492507,0.0
170_310,140,0.016897051510549953,0.0
170_320,150,0.0,0.0
170_330,160,0.006549812432432161,0.0
170_340,170,0.006965639658809549,0.0
170_350,180,0.0,0.0
170_360,170,0.008549819600709618,0.0
40_170,130,0.030323921743156138,0.0
50_170,120,0.05715476066494082,0.0
60_170,110,0.08642416214502248,0.013095692814688734
70_170,100,0.047077723572169335,0.019090088708030313
80_170,90,0.13975424859373686,0.03924587541391115
90_170,80,0.1296067138016669,0.048218052896829594
170_dog,NA,0.0,0.0
170_square,NA,0.0921156787706339,0.14103798689589253
170_triangle,NA,0.0,0.0
180_190,10,0.6099111777291162,0.31299537008542994
20_180,160,0.02255176992531063,0.014647396857926013
180_200,20,0.35602747726725337,0.06123571269589774
180_210,30,0.1787087133687324,0.0912167367660989
180_220,40,0.12957020389369747,0.00756707674607503
180_230,50,0.08206520386150926,0.00909278796022561
180_240,60,0.08979608289116156,0.013218681150730164
180_250,70,0.05228055834226832,0.013878184541334222
180_260,80,0.04052932455093475,0.0
180_270,90,0.05136654969375141,0.014647396857926013
180_280,100,0.03479017259890471,0.0
180_290,110,0.04783952832583796,0.0
30_180,150,0.0706801439112022,0.049206783130512285
180_300,120,0.045741327766057056,0.0
180_310,130,0.016827084123009,0.0
180_320,140,0.004495165240310443,0.0
180_330,150,0.016306727348503983,0.0
180_340,160,0.0034683981532568895,0.01042345498062708
180_350,170,0.0,0.0
180_360,180,0.012771624703386735,0.0
40_180,140,0.06794630169851452,0.036107907233705945
50_180,130,0.07318040653635675,0.04635174349568223
60_180,120,0.10171471414282106,0.11934397902586084
70_180,110,0.12189523819422103,0.10438335009588316
80_180,100,0.1206188130915959,0.08941411116095821
90_180,90,0.12907003773325293,0.1318265717213341
180_dog,NA,0.000980697140391844,0.0
180_square,NA,0.18159636403598758,0.1285310734463277
180_triangle,NA,0.0,0.0
20_190,170,0.026004746299338972,0.0477334370505438
190_200,10,0.3366428216998085,0.039911406314264354
190_210,20,0.2237346605293479,0.12110601416389966
190_220,30,0.19577747811614235,0.04109974682633932
190_230,40,0.09463047971356449,0.0
190_240,50,0.12326792773930005,0.028718326344709527
190_250,60,0.06492274731611955,0.0
190_260,70,0.06426049300860598,0.013423121104280487
