image_pair,distance,word_cosine_sim,lemma_cosine_sim,response_cosine_sim
160_260,100,0.026832925252364876,0.026756368961535947,0.0
160_270,110,0.01812448966592303,0.018092325506298503,0.0
160_280,120,0.018205656617716334,0.02716257924356093,0.0
160_290,130,0.030261376633440123,0.030261376633440123,0.0
30_160,130,0.07781381103325623,0.07781381103325623,0.023544080467400554
160_300,140,0.012784708406000439,0.012784708406000439,0.0
160_310,150,0.0,0.0030618860995575677,0.0
160_320,160,0.0,0.0,0.0
160_330,170,0.009585548219058226,0.009564151879387835,0.0
160_340,180,0.0,0.0,0.0
160_350,170,0.0,0.0,0.0
160_360,160,0.012734075698526939,0.012734075698526939,0.0
40_160,120,0.07370973770897189,0.0833435077223992,0.029012942659282972
50_160,110,0.07396002616336389,0.0958152546660336,0.03644471480623968
60_160,100,0.09944903161976938,0.11533935764002884,0.09511073878158527
70_160,90,0.12403473458920847,0.14470719035407653,0.08703882797784893
80_160,80,0.17361246292862859,0.17361246292862859,0.1044892509546431
90_160,70,0.1849963424601868,0.20289921431117264,0.13794014696151086
160_dog,NA,0.0007066731935304234,0.0007066731935304234,0.0
160_square,NA,0.14312663377298226,0.14312663377298226,0.10652651645601317
160_triangle,NA,0.0,0.0,0.0
170_180,10,0.5229975846277625,0.5229975846277625,0.3378879221640499
170_190,20,0.4403855060505442,0.4403855060505442,0.349344987392638
20_170,150,0.01069686972492461,0.016045304587386913,0.0
170_200,30,0.11688311688311688,0.12337662337662338,0.039872611141445
170_210,40,0.039748315526923365,0.039748315526923365,0.04616586723465407
170_220,50,0.020340736134390743,0.020340736134390743,0.02044937039061924
170_230,60,0.007506183419788629,0.015012366839577258,0.0
170_240,70,0.029933885864585768,0.029933885864585768,0.036843806309180605
170_250,80,0.03035037733715886,0.03343116980006493,0.0
170_260,90,0.025880828594317905,0.030108153488729705,0.0
170_270,100,0.02039495409676023,0.02035876071580471,0.0
170_280,110,0.023900670354916723,0.02716911106504372,0.0
170_290,120,0.02724178826415978,0.02724178826415978,0.0
30_170,140,0.043780794200817395,0.050035193372362737,0.015463506661142745
170_300,130,0.007193127803512274,0.007193127803512274,0.0
170_310,140,0.01380706532976411,0.013781800779173457,0.0
170_320,150,0.0,0.0,0.0
170_330,160,0.005393167463565607,0.005381129128322525,0.0
170_340,170,0.005755878314467003,0.005726734439533746,0.0
170_350,180,0.0,0.005785471714235498,0.0
170_360,170,0.007164640056719096,0.010746960085078644,0.0
40_170,130,0.03554716955822591,0.03516899742266649,0.0
50_170,120,0.0485479387502946,0.05390904121171645,0.0
60_170,110,0.08082176883657399,0.0803449400801685,0.011357771260606365
70_170,100,0.03877017543326962,0.04652421051992354,0.019055398349167647
80_170,90,0.1302406588110148,0.1302406588110148,0.039215686274509796
90_170,80,0.13430382733756338,0.13430382733756338,0.060398433888913625
170_dog,NA,0.0,0.0,0.0
170_square,NA,0.08200567120008534,0.08200567120008534,0.1399310114562961
170_triangle,NA,0.0,0.0,0.0
180_190,10,0.6419407387663694,0.6419407387663694,0.3668705402807885
20_180,160,0.017463715591193207,0.017463715591193207,0.014473007683388939
180_200,20,0.3321741415879032,0.3321741415879032,0.0361629558011441
180_210,30,0.17304832670783127,0.17304832670783127,0.07536726347643961
180_220,40,0.12176375702781007,0.12176375702781007,0.006182269452865234
180_230,50,0.07761246233710387,0.07761246233710387,0.0
180_240,60,0.07964012885783274,0.07964012885783274,0.011138647983852825
180_250,70,0.06606672438218354,0.07641164553704712,0.026773977630083295
180_260,80,0.04225305546934424,0.042132504423474326,0.0
180_270,90,0.04439575152985816,0.044316965750772645,0.022809896167307987
180_280,100,0.04459456914572885,0.055445382703864794,0.011593472394004208
180_290,110,0.04818120558297157,0.04818120558297157,0.0
30_180,150,0.06126561384840951,0.06126561384840951,0.04207445350899108
180_300,120,0.04305951664433643,0.04305951664433643,0.010510605295860623
180_310,130,0.01502761513530689,0.018750146486091638,0.0
180_320,140,0.0041670284035833245,0.0041670284035833245,0.0
180_330,150,0.014674813775960428,0.014642057454363097,0.0
180_340,160,0.0031323500689536756,0.0031164899666948575,0.00902550601789804
180_350,170,0.0,0.0,0.0
180_360,180,0.011696995427762352,0.011696995427762352,0.0
40_180,140,0.0644825880219161,0.07017624188217067,0.03456505649101418
50_180,130,0.06038810848771178,0.05867462087665184,0.043419023050166816
60_180,120,0.10149974286764378,0.10090091909944687,0.12361284651454937
70_180,110,0.13503191561115555,0.14347141033685276,0.10369516947304253
80_180,100,0.12403473458920847,0.12403473458920847,0.08891787425369733
90_180,90,0.12424988606849582,0.12424988606849582,0.12325298302457477
180_dog,NA,0.0008654943695263019,0.0008654943695263019,0.0
180_square,NA,0.17690180893605728,0.17690180893605728,0.1269121544248089
180_triangle,NA,0.0,0.0,0.0
20_190,170,0.025909105128322188,0.025909105128322188,0.04489127034465818
190_200,10,0.3381531564316679,0.3381531564316679,0.0373891651927633
190_210,20,0.20699168271737356,0.20699168271737356,0.10389707743074718
190_220,30,0.17654262595168976,0.17654262595168976,0.03195948571107118
190_230,40,0.09090439555537505,0.09090439555537505,0.0
190_240,50,0.10875520816491241,0.10875520816491241,0.023032671985243936
190_250,60,0.08168029394830358,0.09312046163641516,0.0
190_260,70,0.07313422653406156,0.07813453848974924,0.03881402181239959
190_270,80,0.057632203993334324,0.06163920909019225,0.0
190_280,90,0.062025319768483765,0.07403271186293434,0.0
190_290,100,0.09072647087265548,0.09072647087265548,0.012139284012153828
30_190,160,0.09089344255870231,0.09089344255870231,0.05800147905657415
190_300,110,0.04791220707101938,0.04791220707101938,0.0
190_310,120,0.025081779740824508,0.025035884405499365,0.0
190_320,130,0.004636641172551655,0.004636641172551655,0.010685565962365234
190_330,140,0.022860075533080077,0.022809048515134024,0.0
190_340,150,0.0,0.0,0.0
190_350,160,0.0,0.0,0.0
190_360,170,0.0043384050009413295,0.0043384050009413295,0.0
40_190,150,0.1076244005001263,0.10647942749999,0.07147416898918632
50_190,140,0.1091897366471101,0.12241329578528218,0.10474629747086908
60_190,130,0.21081851067789195,0.2245443565695359,0.23430787756326774
70_190,120,0.16903085094570333,0.16903085094570333,0.19655396472026238
80_190,110,0.15772927070682383,0.16758735012600032,0.16547920455440746
90_190,100,0.12198750911856665,0.13825251033437552,0.09911395756300483
190_dog,NA,0.0,0.0,0.0
190_square,NA,0.2925730858347736,0.2925730858347736,0.13121547732026215
190_triangle,NA,0.0973908526427007,0.0973908526427007,0.0
20_200,180,0.08022652293693458,0.08557495779939688,0.05408329617361469
20_210,170,0.1178606036851405,0.12113450934306107,0.03757168942720642
20_220,160,0.07259992891439435,0.07259992891439435,0.01109502812822031
20_230,150,0.4513250765576913,0.4513250765576913,0.23995393326679468
20_240,140,0.6903487797913332,0.6903487797913332,0.39980014987510926
20_250,130,0.7360628369679333,0.7324544836488277,0.4204374825912608
